576,1,1382,57
844,96,1228,157
998,187,1420,249
0,1861,921,1914
0,1683,153,1727
960,51,1420,106
0,1759,1305,1847
0,1182,115,1226
0,232,1152,315
0,1265,1305,1346
0,24,576,89
0,1437,1305,1514
0,654,883,721
0,1362,921,1428
0,1538,921,1590
0,734,1267,819
0,840,921,893
0,473,883,543
0,198,883,264
0,1014,921,1082
0,1189,921,1251
0,649,76,683
0,914,1305,994
0,1691,921,1756
0,1005,115,1043
0,369,1305,452
0,1351,115,1390
0,52,844,129
0,1597,1305,1679
0,470,76,506
0,135,1190,214
0,1092,1305,1170
0,276,1420,360
0,1564,115,1598
0,871,76,904
0,555,1305,637
0,107,652,179
